TIME [s]	Accel. [cm/s^2
26.34	12.481
26.36	4.442
26.38	2.338
26.40	6.661
26.42	10.748
26.44	13.020
26.46	13.362
26.48	11.357
26.50	10.047
26.52	11.208
26.54	11.156
26.56	10.311
26.58	15.836
26.60	28.136
26.62	40.644
26.64	44.813
26.66	39.386
26.68	33.250
26.70	26.044
26.72	20.017
26.74	18.444
26.76	20.963
26.78	26.292
26.80	25.518
26.82	17.865
26.84	6.828
26.86	0.150
26.88	-0.183
26.90	-3.772
26.92	-11.898
26.94	-24.000
26.96	-36.997
26.98	-46.431
27.00	-50.494
27.02	-53.989
27.04	-52.156
27.06	-42.472
27.08	-28.481
27.10	-13.526
27.12	-3.447
27.14	-0.863
27.16	-0.304
27.18	-6.232
27.20	-24.309
27.22	-38.923
27.24	-37.661
27.26	-13.224
27.28	14.843
27.30	27.300
27.32	21.608
27.34	9.400
27.36	3.814
27.38	-1.373
27.40	-7.868
27.42	-8.618
27.44	-5.224
27.46	-1.520
27.48	8.864
27.50	23.776
27.52	26.768
27.54	18.424
27.56	11.284
27.58	6.863
27.60	-2.710
27.62	-13.382
27.64	-25.428
27.66	-29.754
27.68	-15.643
27.70	4.119
27.72	11.089
27.74	5.377
27.76	3.935
27.78	6.628
27.80	12.414
27.82	18.846
27.84	21.364
27.86	21.539
27.88	19.989
27.90	18.267
27.92	13.046
27.94	5.231
27.96	2.291
27.98	-0.357
28.00	-9.411
28.02	-20.966
28.04	-27.526
28.06	-26.960
28.08	-23.527
28.10	-21.389
28.12	-22.685
28.14	-20.633
28.16	-13.923
28.18	-6.595
28.20	-0.706
28.22	6.555
28.24	11.698
28.26	10.210
28.28	9.673
28.30	16.263
28.32	29.844
28.34	44.609
28.36	52.816
28.38	54.173
28.40	51.900
28.42	41.780
28.44	25.477
28.46	11.854
28.48	1.068
28.50	-5.521
28.52	1.595
28.54	16.853
28.56	26.749
28.58	34.451
28.60	46.095
28.62	57.021
28.64	57.726
28.66	40.909
28.68	16.608
28.70	5.127
28.72	7.215
28.74	7.591
28.76	5.310
28.78	7.560
28.80	10.368
28.82	4.814
28.84	-5.756
28.86	-13.002
28.88	-9.294
28.90	6.714
28.92	13.077
28.94	12.227
28.96	20.446
28.98	26.639
29.00	22.951
29.02	10.134
29.04	-4.566
29.06	-8.540
29.08	3.008
29.10	18.455
29.12	23.310
29.14	14.952
29.16	3.295
29.18	-7.101
29.20	-13.465
29.22	-14.051
29.24	-9.547
29.26	-2.611
29.28	6.791
29.30	16.235
29.32	16.995
29.34	0.758
29.36	-19.034
29.38	-25.766
29.40	-24.833
29.42	-17.919
29.44	-9.051
29.46	3.256
29.48	8.747
29.50	-3.279
29.52	-26.044
29.54	-48.684
29.56	-58.413
29.58	-55.252
29.60	-38.766
29.62	-13.073
29.64	4.070
29.66	5.694
29.68	4.233
29.70	6.660
29.72	3.822
29.74	-1.312
29.76	0.282
29.78	9.852
29.80	21.316
29.82	25.803
29.84	23.831
29.86	17.370
29.88	9.182
29.90	6.038
29.92	10.465
29.94	14.680
29.96	12.654
29.98	9.424
30.00	4.520
30.02	-0.310
30.04	-3.124
30.06	-6.897
30.08	-7.956
30.10	-5.130
30.12	-0.564
30.14	0.063
30.16	-0.437
30.18	2.378
30.20	5.460
30.22	10.193
30.24	15.969
30.26	22.315
30.28	18.592
30.30	5.589
30.32	-0.894
30.34	-10.650
30.36	-15.880
30.38	-11.515
30.40	-12.384
30.42	-13.374
30.44	-7.280
30.46	1.518
30.48	2.930
30.50	-1.813
30.52	-0.174
30.54	2.760
30.56	0.470
30.58	0.943
30.60	3.286
30.62	1.682
30.64	0.403
30.66	3.937
30.68	8.779
30.70	8.652
30.72	-5.240
30.74	-17.816
30.76	-21.162
30.78	-21.539
30.80	-20.676
30.82	-23.354
30.84	-31.255
30.86	-34.354
30.88	-25.145
30.90	-12.622
30.92	-6.123
30.94	-9.751
30.96	-14.438
30.98	-9.756
31.00	-0.561
31.02	8.092
31.04	19.120
31.06	20.688
31.08	11.293
31.10	8.642
31.12	10.780
31.14	11.559
31.16	8.338
31.18	6.600
31.20	10.462
31.22	10.127
31.24	1.050
31.26	-11.071
31.28	-16.548
31.30	-12.474
31.32	-7.671
31.34	-3.835
31.36	-3.165
31.38	-5.244
31.40	-5.069
31.42	-5.130
31.44	-5.486
31.46	-9.595
31.48	-11.533
31.50	-9.304
31.52	-5.398
31.54	-0.050
31.56	6.532
31.58	10.815
31.60	10.291
31.62	3.994
31.64	-6.780
31.66	-17.230
31.68	-21.645
31.70	-18.542
31.72	-10.819
31.74	-2.498
31.76	0.517
31.78	-4.692
31.80	-16.292
31.82	-21.510
31.84	-21.959
31.86	-20.273
31.88	-15.887
31.90	-11.546
31.92	-3.043
31.94	6.471
31.96	7.320
31.98	2.550
32.00	-0.290
32.02	-0.256
32.04	0.419
32.06	-2.260
32.08	-9.251
32.10	-15.412
32.12	-14.805
32.14	-12.409
32.16	-7.684
32.18	-4.957
32.20	-5.578
32.22	-9.104
32.24	-10.058
32.26	-7.557
32.28	-8.007
32.30	-9.969
32.32	-10.314
32.34	-5.269
32.36	-3.178
32.38	-9.320
32.40	-17.556
32.42	-21.821
32.44	-17.245
32.46	-5.886
32.48	5.075
32.50	8.913
32.52	5.101
32.54	-4.235
32.56	-13.346
32.58	-10.438
32.60	2.635
32.62	15.548
32.64	19.658
